City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,thunder bay,48.4001,-89.3168,5.18,98,100,4.56,CA,1683389229
241,plenita,44.2167,23.1833,19.21,55,63,3.23,RO,1683389641
242,squamish,49.7014,-123.1512,11.67,91,100,2.24,CA,1683389641
243,cadale,2.7603,46.3222,28.18,78,20,7.88,SO,1683389641
244,fristad,65.2,16.7167,3.39,90,94,0.32,SE,1683389641
245,santiago de cao,-7.9589,-79.2392,25.07,73,6,5.14,PE,1683389642
246,lupane,-18.9315,27.807,23.35,25,1,2.38,ZW,1683389642
247,pointe aux piments,-20.0628,57.5131,23.62,80,3,6.56,MU,1683389642
248,timmins,48.4669,-81.3331,16.15,45,52,1.65,CA,1683389642
249,padang,-0.9492,100.3543,25.06,96,100,5.61,ID,1683389643
250,taoudenni,22.6783,-3.9836,43.8,3,54,1.58,ML,1683389643
251,tororo,0.693,34.1809,21.27,79,36,1.13,UG,1683389643
252,upington,-28.4478,21.2561,25.37,22,77,6.07,ZA,1683389643
253,port alfred,-33.5906,26.891,18.43,86,61,2.24,ZA,1683389644
254,morehead city,34.7229,-76.726,24.01,63,75,3.58,US,1683389645
255,dalandzadgad,43.5708,104.425,11.22,29,51,4.92,MN,1683389645
256,mildura,-34.2,142.15,3.93,82,3,4.52,AU,1683389646
257,cidade velha,14.9167,-23.6167,27.26,54,20,11.32,CV,1683389646
258,chibougamau,49.9168,-74.3659,15.65,42,12,4.92,CA,1683389370
259,al mayadin,35.0209,40.4535,30.37,17,32,8.99,SY,1683389647
260,new norfolk,-42.7826,147.0587,4.4,70,1,1.11,AU,1683389647
261,malabar,-33.9667,151.25,14.32,76,0,1.54,AU,1683389647
262,taubate,-23.0264,-45.5553,25.34,66,92,0.87,BR,1683389648
263,el granada,37.5027,-122.4694,13.9,87,100,4.12,US,1683389648
264,bellefonte,40.9134,-77.7783,19.2,49,0,0.45,US,1683389648
265,howard springs,-12.497,131.047,26.95,94,89,2.39,AU,1683389648
266,dukhan,25.4297,50.7858,26.82,48,0,4.11,QA,1683389648
267,island harbour,50.724,-1.2758,14.53,95,100,3.13,GB,1683389649
268,fortaleza,-3.7227,-38.5247,32.07,62,40,8.75,BR,1683389487
269,codo,-4.4553,-43.8856,32.48,48,13,2.2,BR,1683389649
270,keflavik,64.0049,-22.5624,9.24,81,75,5.66,IS,1683389649
271,tual,-5.6667,132.75,28.24,78,89,6.28,ID,1683389650
272,mount isa,-20.7333,139.5,20.87,28,16,7.72,AU,1683389650
273,machico,32.7,-16.7667,25.56,73,20,3.6,PT,1683389651
274,fort st. john,56.2499,-120.8529,12.65,53,0,6.1,CA,1683389417
275,port blair,11.6667,92.75,29.62,71,98,1.82,IN,1683389652
276,uruzgan,32.8333,66.0,17.75,19,0,2.61,AF,1683389652
277,fortuna,40.5982,-124.1573,11.63,89,54,0.45,US,1683389653
278,iskateley,67.6803,53.1512,-5.7,90,74,2.69,RU,1683389653
279,enterprise,36.0252,-115.2419,16.85,40,75,10.29,US,1683389547
280,sao joao da barra,-21.6403,-41.0511,29.05,68,6,3.63,BR,1683389653
281,acarau,-2.8856,-40.12,30.0,65,30,5.8,BR,1683389653
282,fernie,49.5,-115.0687,10.82,80,100,1.49,CA,1683389654
283,coquimbo,-29.9533,-71.3436,17.85,59,20,3.09,CL,1683389654
284,rakops,-21.0167,24.3333,27.25,20,0,3.44,BW,1683389654
285,la souterraine,46.2371,1.487,23.17,59,100,2.12,FR,1683389654
286,novo aripuana,-5.1206,-60.3797,26.58,93,48,1.98,BR,1683389654
287,lae,-6.7221,146.9847,24.87,87,96,1.56,PG,1683389654
288,mermoz boabab,14.7065,-17.4758,30.31,84,99,6.96,SN,1683389422
289,darley,-37.6377,144.4263,5.75,87,96,0.89,AU,1683389655
290,dannenberg,53.0967,11.09,9.52,85,100,3.75,DE,1683389655
291,geraldton,-28.7667,114.6,17.23,82,100,7.72,AU,1683389655
292,marshall,34.3834,-86.3333,22.99,68,0,3.09,US,1683389656
293,nema,57.5067,50.5011,4.25,81,99,1.91,RU,1683389656
294,ciudad lazaro cardenas,17.9583,-102.2,30.71,54,6,1.62,MX,1683389656
295,masaka,-0.3338,31.7341,19.67,85,28,2.69,UG,1683389656
296,berezovyy,51.6667,135.7,3.91,82,35,1.3,RU,1683389657
297,cidreira,-30.1811,-50.2056,23.5,83,100,3.86,BR,1683389657
298,prince rupert,54.3161,-130.3201,7.61,84,100,0.48,CA,1683389395
299,luderitz,-26.6481,15.1594,15.57,81,0,6.05,NA,1683389657
300,pineville,31.3224,-92.4343,24.57,75,40,3.6,US,1683389657
301,howrah,22.5892,88.3103,31.0,79,20,4.12,IN,1683389508
302,pijijiapan,15.7011,-93.23,35.29,42,86,3.31,MX,1683389658
303,loch garman,52.3342,-6.4575,16.23,77,47,4.47,IE,1683389658
304,pandan,14.0453,124.1694,26.35,89,26,2.24,PH,1683389658
305,nova xavantina,-14.6667,-52.35,31.51,46,25,2.46,BR,1683389658
306,dongola,19.1667,30.4833,37.16,9,19,8.16,SD,1683389658
307,saladas,-28.2538,-58.6259,17.91,91,100,2.74,AR,1683389659
308,arkalyk,50.2486,66.9114,18.58,30,0,4.31,KZ,1683389659
309,kapuskasing,49.4169,-82.4331,15.96,48,29,2.29,CA,1683389552
310,utrik,11.2278,169.8474,27.16,78,8,7.8,MH,1683389659
311,lompoc,34.6391,-120.4579,14.41,83,75,4.47,US,1683389660
312,pisco,-13.7,-76.2167,22.03,78,100,1.54,PE,1683389494
313,kursk,51.7303,36.1939,8.19,39,0,4.02,RU,1683389660
314,markovo,57.3206,107.0881,0.96,95,98,2.38,RU,1683389660
315,arkhangel'sk,64.5401,40.5433,1.05,65,100,3.11,RU,1683389445
316,tahe,52.3333,124.7333,3.89,45,46,1.48,CN,1683389660
317,kupang,-10.1667,123.5833,26.11,83,93,4.5,ID,1683389661
318,gao,16.6362,1.637,40.9,12,59,1.28,ML,1683389661
319,itanhem,-17.1664,-40.33,26.27,60,97,1.8,BR,1683389661
320,clorinda,-25.2848,-57.7185,20.09,88,100,1.32,AR,1683389416
321,bloemfontein,-29.1211,26.214,16.71,82,75,3.09,ZA,1683389550
322,darnah,32.767,22.6367,18.58,71,0,8.7,LY,1683389662
323,adrar,20.5022,-10.0711,35.69,12,100,6.85,MR,1683389662
324,aluksne,57.4167,27.05,7.22,39,99,2.71,LV,1683389662
325,vorgashor,67.5833,63.95,-9.76,94,77,3.26,RU,1683389663
326,vernon,50.2581,-119.2691,13.12,83,100,2.68,CA,1683389663
327,road town,18.4167,-64.6167,31.02,66,20,6.1,VG,1683389505
328,kingston,17.997,-76.7936,32.36,67,20,3.6,JM,1683389364
329,bertioga,-23.8544,-46.1386,27.77,62,70,2.11,BR,1683389664
330,kitale,1.0157,35.0062,16.17,84,14,1.56,KE,1683389664
331,rabo de peixe,37.8,-25.5833,17.73,94,40,5.66,PT,1683389664
332,saint-pierre,-21.3393,55.4781,24.82,83,75,7.72,RE,1683389664
333,soderhamn,61.3037,17.0592,12.75,47,98,3.91,SE,1683389665
334,kulp,38.4972,41.0122,20.72,45,89,2.23,TR,1683389665
335,karpinsk,59.7654,60.0085,12.93,52,100,2.92,RU,1683389665
336,vadso,70.0744,29.7487,6.49,65,79,3.09,NO,1683389665
337,el porvenir,13.7617,-87.3458,29.63,18,99,2.76,HN,1683389666
338,shingu,33.7333,135.9833,19.59,96,100,3.72,JP,1683389666
339,alaghsas,17.0187,8.0168,39.87,6,1,5.62,NE,1683389666
340,berdigestyakh,62.0989,126.6992,1.91,100,100,4.17,RU,1683389666
341,egilsstadir,65.2653,-14.3948,12.26,72,92,3.65,IS,1683389666
342,rio grande,-32.035,-52.0986,21.06,91,100,5.04,BR,1683389667
343,essaouira,31.5125,-9.77,20.49,65,0,11.23,MA,1683389667
344,punta arenas,-53.15,-70.9167,8.06,71,20,9.77,CL,1683389668
345,roswell,34.0232,-84.3616,22.44,69,100,3.6,US,1683389651
346,olinda,-8.0089,-34.8553,29.85,62,40,4.63,BR,1683389668
347,bridgewater,44.3835,-64.5155,20.62,36,26,5.81,CA,1683389624
